pool_id,dex,percentage
0x4f3126d5de26413abdcf6948943fb9d0847d9818,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x6abe9fe208ff4b9850361654eb80541f8b12262a,bnb__pancakeswap__3,10.9
0xd4fb9d253739c5db6aad90ad2409757d224ccc0c,bnb__pancakeswap__3,10.9
0x467634dbc8996cd313ceec570bd1180ea6742710,bnb__pancakeswap__3,10.9
0x90a54475d512b8f3852351611c38fad30a513491,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0xaf696c39724c4f2095110d01b85bc6b8a49e1d51,bnb__pancakeswap__3,10.9
0x6a7ca07ec188354483831ea566c4fa8c4d559f3d,bnb__pancakeswap__3,10.9
0x0dca2198d75127d387a4851a1b08c1b34b4c2acc,bnb__pancakeswap__3,10.9
0x799c256edb156e2b2678c9b3605330dd12b2ef86,bnb__pancakeswap__3,10.9
0xbe141893e4c6ad9272e8c04bab7e6a10604501a5,bnb__pancakeswap__3,10.9
0x239a0f77061ab3e5424a0a144e9980e729f523ae,bnb__pancakeswap__3,10.9
0xe1628b1243454d52e001b0ddc722930b6d519b6d,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x6cd061334aafee6cdd5bc5c958e71f769d7ca8cc,bnb__pancakeswap__3,10.9
0x875bd9d745dee960802d8bfc4583a619c1eb51a6,bnb__pancakeswap__3,10.9
0x83e98cac01259a0d00729cfb722810472c421459,bnb__pancakeswap__3,10.9
0x1b25b30bea3a0ea3013417c75e889258374225d7,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x1d82c15415a4878f5fa90295b6b43c8409c1c548,bnb__pancakeswap__3,10.9
0xc6fb2b67a3d745ad334027a74b50725da048ea3e,bnb__pancakeswap__3,10.9
0x799c256edb156e2b2678c9b3605330dd12b2ef86,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x2d51026a4b41ffcf8e3e1bc74c57237e95838ef2,bnb__pancakeswap__3,10.9
0xcd57d09ff9cef7f4001a204148ade1f7e5848fb9,bnb__pancakeswap__3,10.9
0xbd5f97a5434e03de6b1d50a4da77d73885daf54a,bnb__pancakeswap__3,10.9
0xd28c09cb3c31c8388dc32da6b5158ed79ecaa8c1,bnb__pancakeswap__3,10.9
0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0xee7fa0e58fe188c7add74f52e271fae9f0b3dafc,bnb__pancakeswap__3,10.9
0x0e1893beeb4d0913d26b9614b18aea29c56d94b9,bnb__pancakeswap__3,10.9
0xf045a8033549f285c13955007d670997b792de75,bnb__pancakeswap__3,10.9
0x1e8d7ab96323953fac85ab687f5d38b45344e62d,bnb__pancakeswap__3,10.9
